Fecha,Dia,Conmemoracion,Fecha_Dia,Fecha_Mes,Fecha_Año,Fecha_MDA,Fecha_DT
17/08/21,Martes,Paso A La Inmortalidad Del Gral. Jose De San Martin,17,08,21,08/17/21,2021-08-17
12/10/21,Martes,Dia Del Respeto A La Diversidad Cultural,12,10,21,10/12/21,2021-10-12
22/11/21,Lunes,(10),22,11,21,11/22/21,2021-11-22
08/12/21,Miercoles,Inmaculada Concepcion De Maria,08,12,21,12/08/21,2021-12-08
25/12/21,Sabado,Navidad,25,12,21,12/25/21,2021-12-25
01/01/22,Domingo,Ano Nuevo,01,01,22,01/01/22,2022-01-01
27/02/22,Domingo,Desconocido,27,02,22,02/27/22,2022-02-27
28/02/22,Lunes,Carnaval,28,02,22,02/28/22,2022-02-28
24/03/22,Viernes,Aniversario Golpe De Estado Del 24 De Marzo De 1976,24,03,22,03/24/22,2022-03-24
02/04/22,Sabado,Dia Del Vet. Y De Los Caidos En La Guerra En Malvinas,02,04,22,04/02/22,2022-04-02
30/04/22,Domingo,Feriado Puente Turistico,30,04,22,04/30/22,2022-04-30
01/05/22,Domingo,Dia Del Trabajador,01,05,22,05/01/22,2022-05-01
25/05/22,Jueves,Primer Gobierno Patrio,25,05,22,05/25/22,2022-05-25
20/06/22,Lunes,Paso A La Inmortalidad Del Gral. Belgrano,20,06,22,06/20/22,2022-06-20
17/08/22,Miercoles,Paso A La Inmortalidad Del Gral. Jose De San Martin,17,08,22,08/17/22,2022-08-17
12/10/22,Miercoles,Dia Del Respeto A La Diversidad Cultural,12,10,22,10/12/22,2022-10-12
27/11/22,Domingo,Dia De La Soberania Nacional,27,11,22,11/27/22,2022-11-27
08/12/22,Jueves,Inmaculada Concepcion De Maria,08,12,22,12/08/22,2022-12-08
25/12/22,Domingo,Navidad,25,12,22,12/25/22,2022-12-25
01/01/23,Domingo,Ano Nuevo,01,01,23,01/01/23,2023-01-01
20/02/23,Lunes,Desconocido,20,02,23,02/20/23,2023-02-20
24/02/23,Viernes,Feriado Puente Turistico,24,02,23,02/24/23,2023-02-24
01/03/23,Miercoles,Desconocido,01,03,23,03/01/23,2023-03-01
24/03/23,Sabado,Aniversario Golpe De Estado Del 24 De Marzo De 1976,24,03,23,03/24/23,2023-03-24
02/04/23,Domingo,Dia Del Vet. Y De Los Caidos En La Guerra En Malvinas,02,04,23,04/02/23,2023-04-02
24/04/23,Lunes,Feriado Puente Turistico,24,04,23,04/24/23,2023-04-24
01/05/23,Lunes,Dia Del Trabajador,01,05,23,05/01/23,2023-05-01
25/05/23,Jueves,Primer Gobierno Patrio,25,05,23,05/25/23,2023-05-25
20/06/23,Martes,Paso A La Inmortalidad Del Gral. Belgrano,20,06,23,06/20/23,2023-06-20
17/08/23,Jueves,Paso A La Inmortalidad Del Gral. Jose De San Martin,17,08,23,08/17/23,2023-08-17
12/10/23,Jueves,Dia Del Respeto A La Diversidad Cultural,12,10,23,10/12/23,2023-10-12
27/11/23,Lunes,Dia De La Soberania Nacional,27,11,23,11/27/23,2023-11-27
08/12/23,Viernes,Inmaculada Concepcion De Maria,08,12,23,12/08/23,2023-12-08
25/12/23,Martes,Navidad,25,12,23,12/25/23,2023-12-25
01/01/24,Martes,Ano Nuevo,01,01,24,01/01/24,2024-01-01
12/02/24,Lunes,Carnaval,12,02,24,02/12/24,2024-02-12
13/02/24,Martes,Carnaval,13,02,24,02/13/24,2024-02-13
24/03/24,Domingo,Dia Nacional De La Memoria Por La Verdad Y La Justicia,24,03,24,03/24/24,2024-03-24
29/03/24,Viernes,Viernes Santo,29,03,24,03/29/24,2024-03-29
02/04/24,Martes,Dia Del Vet. Y De Los Caidos En La Guerra De Malvinas,02,04,24,04/02/24,2024-04-02
01/05/24,Miercoles,Dia Del Trabajador,01,05,24,05/01/24,2024-05-01
25/05/24,Sabado,Dia De La Revolucion De Mayo,25,05,24,05/25/24,2024-05-25
20/06/24,Jueves,Paso A La Inmortalidad Del Gral. Manuel Belgrano,20,06,24,06/20/24,2024-06-20
09/07/24,Martes,Dia De La Independencia,09,07,24,07/09/24,2024-07-09
08/12/24,Domingo,Inmaculada Concepcion De Maria,08,12,24,12/08/24,2024-12-08
25/12/24,Miercoles,Navidad,25,12,24,12/25/24,2024-12-25
